Network,Demand,Goodwill,Backlog,Num_Seeds,Oracle_Profit_Mean,Oracle_Profit_Std,Oracle_Profit_Min,Oracle_Profit_Max,Oracle_FillRate_Mean,Oracle_FillRate_Std,Oracle_FillRate_Min,Oracle_FillRate_Max,Oracle_AvgInv_Mean,Oracle_AvgInv_Std,Oracle_AvgInv_Min,Oracle_AvgInv_Max,Oracle_Unfulfilled_Mean,Oracle_Unfulfilled_Std,Oracle_Unfulfilled_Min,Oracle_Unfulfilled_Max,Oracle_AvgBacklog_Mean,Oracle_AvgBacklog_Std,Oracle_AvgBacklog_Min,Oracle_AvgBacklog_Max,Oracle_FinalSentiment_Mean,Oracle_FinalSentiment_Std,Oracle_FinalSentiment_Min,Oracle_FinalSentiment_Max,Avg_SolveTime_s
base,stationary,True,True,30,951.4979,58.943789295454124,806.7170000000002,1040.364,0.9773457230813497,0.03023673000617436,0.8876582278481012,1.0,576.3355555555555,12.31187923797055,553.6,603.9,14.5,19.238520984087433,0.0,71.0,0.48333333333333334,0.6412840328029143,0.0,2.3666666666666667,1.2006935803557917,0.12803952196649873,0.9442418536112391,1.334503876567234,0.8507300774256389
base,trend,False,False,30,1583.9560666666666,51.81403123701037,1459.7630000000001,1686.4070000000002,0.9267113114865587,0.020803392971141466,0.8811513463324048,0.9706774519716885,492.6444444444444,8.885958329175399,472.3333333333333,509.2,75.93333333333334,23.35030581404011,29.0,128.0,2.531111111111111,0.7783435271346703,0.9666666666666667,4.266666666666667,1.0,0.0,1.0,1.0,0.5276549021402995
base,trend,False,True,30,1742.0716333333332,73.13326305355803,1558.8960000000002,1872.7469999999998,0.8438120157866595,0.07593754139713876,0.6564531104921076,0.9706774519716885,452.93222222222226,17.961724915532237,418.3,484.43333333333334,162.66666666666666,83.32997694390215,29.0,370.0,5.422222222222222,2.777665898130072,0.9666666666666667,12.333333333333334,1.0,0.0,1.0,1.0,0.43437445163726807
base,trend,True,False,30,1331.1472666666668,96.80124597799323,1106.673,1561.1490000000001,0.9068769355626204,0.02135000557471643,0.8630609896432682,0.9493041749502982,513.5788888888889,8.242495638764064,497.76666666666665,529.3,87.03333333333333,19.00722790529114,51.0,127.0,2.901111111111111,0.6335742635097047,1.7,4.233333333333333,0.9043178460833183,0.07035607030511842,0.7497656126116103,1.0596491912748354,0.6816510041554769
base,trend,True,True,30,1390.9051,93.20180344353635,1225.5900000000001,1669.469,0.7626590159320085,0.09542822987307141,0.559074299634592,0.9284294234592445,476.55333333333334,9.708713943503623,452.7,490.0,208.46666666666667,80.90937174877585,72.0,374.0,6.948888888888888,2.696979058292529,2.4,12.466666666666667,0.816949546872188,0.08684103288791505,0.6681079716341083,1.0596491912748354,0.8205490907033285
base,trend+seasonal,False,False,30,1161.7781333333335,38.277543872969765,1085.982,1227.151,0.7875362894036251,0.022344569198968104,0.7433628318584071,0.8373893805309734,529.99,7.557621055287552,515.6,545.5666666666667,204.56666666666666,28.24728651396978,147.0,262.0,6.81888888888889,0.9415762171323259,4.9,8.733333333333333,1.0,0.0,1.0,1.0,0.284888482093811
base,trend+seasonal,False,True,30,1550.8515333333335,67.87566678848617,1425.8100000000002,1696.8399999999997,0.18703668142765612,0.13592189110070543,0.0,0.49668141592920356,425.7044444444444,18.17630711903034,388.76666666666665,459.8,794.9,175.2567279440512,455.0,1170.0,26.496666666666666,5.841890931468373,15.166666666666666,39.0,1.0,0.0,1.0,1.0,0.3940127690633138
base,trend+seasonal,True,False,30,775.1501000000002,54.011550070236424,661.5519999999999,879.5349999999999,0.7639138675632449,0.022975959013537266,0.7141104294478527,0.8150594451783355,567.6188888888888,6.332460214064319,555.1,582.2333333333333,182.43333333333334,21.432626326802968,140.0,233.0,6.081111111111111,0.714420877560099,4.666666666666667,7.766666666666667,0.6904762363243152,0.046334165913959766,0.5953437370997003,0.7497656126116103,0.2568671623865763
base,trend+seasonal,True,True,30,1035.9843666666666,64.62871721610179,906.56,1152.5190000000002,0.06050429877540154,0.08699951636609936,0.0,0.34896551724137936,478.4177777777778,13.941684054604613,451.4,502.0,749.0333333333333,128.7790096767844,472.0,1042.0,24.967777777777776,4.292633655892814,15.733333333333333,34.733333333333334,0.6155400147377983,0.04495849930942552,0.530504320187852,0.6681079716341083,0.3181513468424479
base,trend+seasonal+shock,False,False,30,2057.0845,52.89148854527051,1968.698,2194.817,0.8527735564457986,0.017147068789271785,0.8182451253481894,0.8897224306076519,419.1333333333333,9.52025064868532,400.46666666666664,438.06666666666666,204.56666666666666,28.24728651396978,147.0,262.0,6.81888888888889,0.9415762171323259,4.9,8.733333333333333,1.0,0.0,1.0,1.0,0.19480680624643962
base,trend+seasonal+shock,False,True,30,2438.1481333333336,72.16029721712876,2301.704,2584.118,0.40921524445718876,0.11874899235021442,0.16086350974930363,0.6586646661665416,314.9455555555555,17.6147371323021,281.8333333333333,346.03333333333336,822.5,183.74753106481128,455.0,1205.0,27.416666666666664,6.124917702160376,15.166666666666666,40.166666666666664,1.0,0.0,1.0,1.0,0.21687454382578533
base,trend+seasonal+shock,True,False,30,1317.5349666666666,92.308323778476,1097.325,1483.8829999999998,0.8260171371796533,0.0186503792516136,0.7893309222423146,0.8677998111425873,487.711111111111,9.362304515945723,468.0,514.2333333333333,182.43333333333334,21.432626326802968,140.0,233.0,6.081111111111111,0.714420877560099,4.666666666666667,7.766666666666667,0.6904762363243152,0.046334165913959766,0.5953437370997003,0.7497656126116103,0.6355821450551351
base,trend+seasonal+shock,True,True,30,1455.9342333333332,94.83311679659947,1216.3669999999997,1633.401,0.23944141208598577,0.1317005142116093,0.0,0.5256281407035176,434.72777777777776,10.300210477830625,416.46666666666664,462.93333333333334,750.3,131.36974668784129,472.0,1061.0,25.009999999999998,4.378991556261377,15.733333333333333,35.36666666666667,0.6109532263562565,0.046406470108551603,0.530504320187852,0.6681079716341083,0.2905433495839437
base,trend+shock,False,False,30,2867.6118333333334,57.51099486549977,2763.2889999999998,3005.214,0.9544882422370043,0.013296535039679135,0.9250585480093677,0.982131854590265,349.96111111111105,7.421905463908708,334.1,362.8,75.93333333333334,23.35030581404011,29.0,128.0,2.531111111111111,0.7783435271346703,0.9666666666666667,4.266666666666667,1.0,0.0,1.0,1.0,0.21764896710713705
base,trend+shock,False,True,30,3007.2269333333334,73.803777629666,2851.723,3149.009,0.9028395941929959,0.04813753812468926,0.7833723653395784,0.982131854590265,322.53888888888895,12.716026281561351,297.8666666666667,346.03333333333336,162.66666666666666,83.32997694390215,29.0,370.0,5.422222222222222,2.777665898130072,0.9666666666666667,12.333333333333334,1.0,0.0,1.0,1.0,0.20249386628468832
