Network,Demand,Goodwill,Backlog,N,Old_Profit_Mean,Old_Profit_Std,Old_FillRate_Mean,Clv_Profit_Mean,Clv_Profit_Std,Clv_FillRate_Mean,Clv_Sentiment_Mean,Clv_AvgTime,Profit_Diff,Profit_Diff_Pct,FillRate_Diff
base,trend+seasonal+shock,False,True,30,2438.1481333333336,72.16029721712879,0.4092152444571887,2438.127733333333,72.14929634896349,0.4092152444571885,1.0,1.4802947998046876,-0.020400000000790897,-0.0008367005975515062,-2.220446049250313e-16
base,trend+seasonal+shock,True,False,30,1317.5349666666666,92.30832377847601,0.8260171371796532,1112.7189333333333,72.9044990631619,0.787543286439191,0.4735787741399427,1.7961610873540244,-204.81603333333328,-15.54539640428012,-0.03847385074046217
base,trend+seasonal+shock,True,True,30,1455.9342333333334,94.83311679659944,0.23944141208598577,1337.9343,80.94685625262257,0.17254385332016883,0.40752935028487175,1.8680710236231486,-117.9999333333335,-8.10475711276978,-0.06689755876581693
base,trend+shock,False,False,30,2867.6118333333334,57.510994865499725,0.9544882422370043,2867.6118333333316,57.51099486549947,0.954488242237004,1.0,1.772111217180888,-1.8189894035458565e-12,-6.343220454043983e-14,-3.3306690738754696e-16
base,trend+shock,False,True,30,3007.2269333333334,73.80377762966607,0.902839594192996,3007.2269333333334,73.80377762966616,0.902839594192996,1.0,1.7002404054005942,0.0,0.0,0.0
base,trend+shock,True,False,30,2291.0326333333337,187.42553640100846,0.9402993741714468,1888.4639666666665,161.42324859382884,0.896934827889245,0.6006784943748371,2.3335590759913125,-402.56866666666724,-17.571494216603572,-0.04336454628220188
base,trend+shock,True,True,30,2210.4361,210.36612051953114,0.844649246813984,1711.9357999999997,143.87959382819176,0.8038300171017168,0.4788885548240831,67.4298201640447,-498.50030000000015,-22.552124442773994,-0.04081922971226726
serial,seasonal,False,False,30,983.1083333333333,30.78886465561225,0.9369174648636338,983.1083333333333,30.78886465561225,0.9369174648636338,1.0,0.9382820844650268,0.0,0.0,0.0
serial,seasonal,False,True,30,1037.8916666666667,40.250026779458494,0.9159745989800149,1037.8916666666667,40.250026779458494,0.9159745989800149,1.0,0.9531747738520304,0.0,0.0,0.0
serial,seasonal,True,False,30,866.6393333333333,65.44420508227275,0.9265507898892391,798.0566666666666,41.14523488841678,0.8562449106031378,0.5766343878298713,1.2403934160868326,-68.58266666666668,-7.913634199232439,-0.07030587928610132
serial,seasonal,True,True,30,916.6906666666667,73.3237339349335,0.8980141720326088,839.5036666666667,37.124116939070056,0.7601008656962934,0.41059957519338036,1.2607609748840332,-77.18700000000001,-8.42017954439011,-0.13791330633631538
serial,seasonal+shock,False,False,30,1271.2926666666667,36.23210387576696,0.9529595802669436,1271.2926666666667,36.23210387576696,0.9529595802669436,1.0,0.9379522005716959,0.0,0.0,0.0
serial,seasonal+shock,False,True,30,1325.8220000000001,45.99907880636831,0.9373132509060527,1325.8220000000001,45.99907880636831,0.9373132509060527,1.0,0.9494977394739786,0.0,0.0,0.0
serial,seasonal+shock,True,False,30,1110.9326666666668,91.17836747876079,0.9454040066571656,955.7343333333333,58.55768789500824,0.8642244305222724,0.5402517988338356,1.3390769720077516,-155.1983333333335,-13.970093597031696,-0.08117957613489324
serial,seasonal+shock,True,True,30,1158.3826666666669,101.86541394487588,0.923940055793538,982.3273333333332,50.011131859667515,0.7597119288873008,0.40319155726244854,1.3380876461664835,-176.0553333333337,-15.198374285066448,-0.16422812690623723
serial,shock,False,False,30,1451.9753333333333,47.52611984084577,0.9997123336929162,1451.9753333333333,47.52611984084577,0.9997123336929162,1.0,220.8121178706487,0.0,0.0,0.0
serial,shock,False,True,30,1452.3673333333331,47.865853420556064,0.9997123336929162,1452.3673333333331,47.865853420556064,0.9997123336929162,1.0,1.018497904141744,0.0,0.0,0.0
serial,shock,True,False,30,1646.551,77.11014148382283,0.9981860104716538,1097.619,54.429584459949375,0.9094395397358463,0.5886569870366042,1.1842873016993205,-548.932,-33.338293195898586,-0.08874647073580744
serial,shock,True,True,30,1649.237,72.69468315946618,0.9981860104716538,1063.219,53.35315382527484,0.8349904413261126,0.45695309194759376,1.4162919998168946,-586.018,-35.532673593910395,-0.16319556914554123
serial,stationary,False,False,30,1030.1556666666665,44.01229943168582,0.9995820271682341,1030.1556666666665,44.01229943168582,0.9995820271682341,1.0,0.9685392300287883,0.0,0.0,0.0
serial,stationary,False,True,30,1030.5520000000001,44.53727941770847,0.9995820271682341,1030.5520000000001,44.53727941770847,0.9995820271682341,1.0,1.0025535980860392,0.0,0.0,0.0
serial,stationary,True,False,30,1141.706,50.003909060985514,0.9972828494072487,835.1883333333333,42.77501478935903,0.9011649046205037,0.6140278867196044,1.2018457412719727,-306.5176666666666,-26.847337814346833,-0.09611794478674496
serial,stationary,True,True,30,1144.4143333333334,47.07043765745509,0.9972828494072487,834.1466666666666,33.40157412492693,0.8380655781811738,0.4762250627413192,1.1831406911214193,-310.26766666666674,-27.111480311763547,-0.15921727122607487
serial,trend,False,False,30,1618.4226666666666,43.17923135293043,0.9842894282331898,1618.4226666666666,43.17923135293043,0.9842894282331898,1.0,0.9785474538803101,0.0,0.0,0.0
serial,trend,False,True,30,1642.0886666666668,51.437725236165605,0.9820363314534859,1642.0886666666668,51.437725236165605,0.9820363314534859,1.0,0.9523199081420899,0.0,0.0,0.0
serial,trend,True,False,30,1544.7766666666669,158.76473110763033,0.9777168912984743,1243.0276666666664,70.53363001670428,0.8993909931318166,0.6205606580951303,1.2151689052581787,-301.7490000000005,-19.53350322484591,-0.07832589816665769
serial,trend,True,True,30,1571.0656666666666,157.0649100758232,0.9737099091811686,1187.5436666666667,47.27844631639188,0.837214693913506,0.45345658167868486,1.2014040311177572,-383.52199999999993,-24.41158305074029,-0.13649521526766262
serial,trend+seasonal,False,False,30,1416.308,39.76653448350243,0.9072724886585806,1416.308,39.76653448350243,0.9072724886585806,1.0,1.1619550387064617,0.0,0.0,0.0
serial,trend+seasonal,False,True,30,1534.7649999999999,49.33487161123012,0.8108984428770442,1534.7649999999999,49.33487161123012,0.8108984428770442,1.0,1.4711468458175658,0.0,0.0,0.0
serial,trend+seasonal,True,False,30,1053.1766666666667,99.76636567270664,0.9024316531170574,1006.3996666666665,51.10140186236431,0.8195319491540793,0.5036820639092654,1.1876626491546631,-46.77700000000027,-4.44151503546416,-0.08289970396297808
serial,trend+seasonal,True,True,30,1009.815,130.08151001026906,0.7993258505790578,1087.6019999999999,55.02363977231155,0.6702554740450684,0.39371586194958597,1.4125640233357748,77.78699999999981,7.703094131103202,-0.12907037653398945
serial,trend+seasonal+shock,False,False,30,2013.4533333333334,45.53138897078804,0.9357228567752521,2013.4533333333334,45.53138897078804,0.9357228567752521,1.0,0.9930661678314209,0.0,0.0,0.0
serial,trend+seasonal+shock,False,True,30,2131.9103333333333,53.858433814849484,0.8687380404820111,2131.9103333333333,53.858433814849484,0.8687380404820111,1.0,1.0265974521636962,0.0,0.0,0.0
serial,trend+seasonal+shock,True,False,30,1447.2356666666667,168.36882733601777,0.9321236466235429,1359.6706666666664,100.63514454096851,0.8533695884887362,0.5414204907801088,1.3890650272369385,-87.56500000000028,-6.050500413777366,-0.07875405813480663
serial,trend+seasonal+shock,True,True,30,1317.0513333333333,200.01288223569478,0.8584142930742639,1390.8286666666665,76.66886652815873,0.7314121620032491,0.40436483145534763,1.4622468550999959,73.77733333333322,5.6017052233347435,-0.12700213107101477
serial,trend+shock,False,False,30,2502.710666666667,50.4773271010299,0.9902126404329064,2502.710666666667,50.4773271010299,0.9902126404329064,1.0,0.9522110223770142,0.0,0.0,0.0
serial,trend+shock,False,True,30,2526.374333333333,58.31479144491884,0.9888031764021854,2526.374333333333,58.31479144491884,0.9888031764021854,1.0,0.9714981555938721,0.0,0.0,0.0
serial,trend+shock,True,False,30,2361.4216666666666,274.687951358017,0.9862009601270725,1877.0276666666666,138.14607657721652,0.9132832367167966,0.6716330479173283,1.1955688714981079,-484.394,-20.512812550066943,-0.07291772341027591
serial,trend+shock,True,True,30,2386.021,274.5446914356881,0.9837140302235334,1679.2143333333333,70.56801178629921,0.8677594232940048,0.46496194725935813,1.2770004510879516,-706.8066666666668,-29.62281835183625,-0.11595460692952864
