Network,Demand,Goodwill,Backlog,Oracle_Profit,DLP_H10_Profit,DLP_H10_Fill,DLP_H10_Time,DLP_Adaptive_Profit,DLP_Adaptive_Fill,DLP_Adaptive_Time,Improvement,Improvement_%,Gap_H10_%,Gap_Adaptive_%
serial,seasonal,False,False,964.362,741.324,0.6668123539829457,1.6766245365142822,928.4660000000001,0.8865973215248882,0.9611057758331298,187.14200000000017,25.24429264397216,23.128036981963206,3.7222536765239447
serial,seasonal,True,True,876.5959999999999,723.488,0.35992929169758225,0.9003867626190185,807.72,0.7732883591459265,0.9431684017181396,84.23199999999997,11.64248750497589,17.466198796252762,7.857211303724848
serial,seasonal,True,False,816.406,746.8639999999999,0.8143531334871692,0.7806426048278808,824.46,0.8938664624402444,0.8943040370941162,77.59600000000012,10.38957561215966,8.518065766297656,-0.9865189623790231
serial,shock,False,True,1441.464,413.26599999999996,0.0,0.7861461639404297,1406.2959999999998,0.8155150539574967,0.932234525680542,993.0299999999999,240.2883372936559,71.33011993362304,2.4397418180405563
serial,shock,False,False,1433.896,705.1659999999999,0.4508207028807224,0.7963397979736329,1367.61,0.9614734947322354,0.9126548767089844,662.444,93.9415683682991,50.82167744383136,4.62278993734553
serial,shock,True,True,1501.8919999999998,647.2919999999999,0.0,0.8369905948638916,1049.3880000000001,0.8907346441035904,0.912450122833252,402.09600000000023,62.11972340149426,56.90156149709833,30.1289307087327
serial,shock,True,False,1494.668,728.512,0.6532660422565127,0.8008482933044434,1124.542,0.9563209329140218,0.8686530113220214,396.03,54.361493015900905,51.25927630751445,24.76309120152435
serial,trend+seasonal,False,True,1534.3560000000002,160.78599999999994,0.0,0.8963005542755127,1498.7580000000003,0.559406574548752,1.0556304454803467,1337.9720000000002,832.144589703084,89.52094559541592,2.320061315626879
serial,trend+seasonal,False,False,1394.458,710.1919999999999,0.41548512763360546,0.8378036022186279,1347.588,0.8672378096199985,1.0032499790191651,637.3960000000001,89.74981413476921,49.0703915069511,3.3611625448740736
serial,trend+seasonal,True,True,872.342,615.9540000000001,0.0,0.8736948490142822,1033.38,0.728413881794459,1.163362693786621,417.42600000000004,67.76902171266036,29.390766465445882,-18.460420339729158
serial,trend+seasonal,True,False,950.786,739.092,0.641237988764914,0.8884958267211914,1063.578,0.8686879413293237,0.9430505752563476,324.486,43.90333003198519,22.265157459196914,-11.863027011335888
serial,trend+shock,False,True,2507.64,-204.70800000000003,0.0,0.793464994430542,2466.592,0.861767689301624,0.9261209964752197,2671.3,1304.9319030033023,108.16337273292818,1.6369175798758901
serial,trend+shock,False,False,2463.356,636.9859999999999,0.24297358896534038,0.823271369934082,2396.25,0.9663196046005034,0.9632023334503174,1759.2640000000001,276.18566185128094,74.14153699262307,2.7241697911304827
serial,trend+shock,True,True,2154.084,398.92199999999997,0.0,0.7820796012878418,1676.0700000000002,0.913187953064732,1.0792180061340333,1277.1480000000001,320.14980372102826,81.48066649211451,22.191056616176514
serial,trend+shock,True,False,2171.3540000000003,711.408,0.45899357890695847,0.8268261432647706,1874.414,0.9644165847388557,0.8830739498138428,1163.0059999999999,163.47946607291453,67.23666431176125,13.675338060951841
serial,seasonal+shock,False,True,1321.2040000000002,411.8619999999999,0.0,0.8187568187713623,1286.812,0.6866570019223885,0.9151000499725341,874.95,212.43766115834921,68.82676710031154,2.6030802207683506
serial,seasonal+shock,False,False,1245.7900000000002,721.916,0.49988579781695003,0.7950922012329101,1197.588,0.9094683320738393,0.881398868560791,475.6719999999999,65.89021437397147,42.05154961911719,3.8691914367590217
serial,seasonal+shock,True,True,1078.802,659.404,0.0,0.9177459716796875,987.2939999999999,0.8158276346061613,1.0063498973846436,327.8899999999999,49.7252063985053,38.87627201284387,8.48237211276954
serial,seasonal+shock,True,False,1032.614,741.4979999999999,0.7000739294784164,0.8001499652862549,1003.152,0.9158942373562133,0.9767848491668701,261.6540000000001,35.287215879206705,28.19214149721,2.853147449095208
serial,trend+seasonal+shock,False,True,2121.5160000000005,-160.31400000000002,0.0,0.8505309581756592,2087.6220000000003,0.696374950647529,0.9208775997161865,2247.936,1402.208166473296,107.55657746630239,1.5976311279292839
serial,trend+seasonal+shock,False,False,1981.618,668.2520000000001,0.2892770486837634,0.8264614582061768,1932.56,0.9081306489609984,0.9305101871490479,1264.308,189.19629121948006,66.27745609900596,2.4756537334642696
serial,trend+seasonal+shock,True,True,1122.888,502.974,0.0,0.8009845733642578,1351.3219999999997,0.7986294977531343,0.9006359100341796,848.3479999999997,168.66637241686445,55.207108812276914,-20.34343585468896
serial,trend+seasonal+shock,True,False,1278.254,724.626,0.5197940408085424,0.7922717094421386,1414.9119999999998,0.9040508811276468,0.9097073554992676,690.2859999999998,95.26100360737813,43.31126677483505,-10.690989427766304
