Network,Demand,Goodwill,Backlog,Seed,Oracle_Profit,Oracle_FillRate,Oracle_AvgInv,Oracle_Unfulfilled,Oracle_AvgBacklog,Oracle_FinalSentiment,Oracle_SolveTime_s
base,stationary,True,False,56,959.008,0.9762258543833581,573.8333333333334,16.0,0.5333333333333333,1.1891618702084263,0.7590298652648926
base,stationary,True,False,57,940.009,0.9908116385911179,575.9,6.0,0.2,1.1891618702084263,0.4986250400543213
base,stationary,True,False,58,940.3710000000001,0.9984591679506933,578.7333333333333,1.0,0.03333333333333333,1.1891618702084263,0.35829997062683105
base,stationary,True,False,59,971.644,1.0,586.6666666666666,0.0,0.0,1.334503876567234,0.3701932430267334
base,stationary,True,False,60,972.8430000000001,1.0,581.0,0.0,0.0,1.334503876567234,0.39966583251953125
base,stationary,True,False,61,1018.2609999999999,1.0,576.9,0.0,0.0,1.334503876567234,0.3734776973724365
base,stationary,True,False,62,989.145,0.9738372093023255,564.5333333333333,18.0,0.6,1.1891618702084263,0.46051597595214844
base,stationary,True,False,63,1040.364,1.0,579.5666666666667,0.0,0.0,1.334503876567234,0.42527318000793457
base,stationary,True,False,64,898.471,0.9389880952380952,575.5333333333333,41.0,1.3666666666666667,1.0596491912748354,0.591623067855835
base,stationary,True,False,65,790.008,0.9813874788494078,601.2666666666667,11.0,0.36666666666666664,1.0596491912748354,0.5276148319244385
base,stationary,True,False,66,998.8039999999999,1.0,583.0333333333333,0.0,0.0,1.334503876567234,1.5414071083068848
base,stationary,True,False,67,889.8979999999999,1.0,593.7666666666667,0.0,0.0,1.334503876567234,0.38509106636047363
base,stationary,True,False,68,1009.075,1.0,576.3666666666667,0.0,0.0,1.334503876567234,0.33397889137268066
base,stationary,True,False,69,829.2559999999999,0.9372056514913658,581.9333333333333,40.0,1.3333333333333333,1.0596491912748354,0.3278179168701172
base,stationary,True,False,70,990.5649999999998,1.0,586.1666666666666,0.0,0.0,1.334503876567234,0.44325804710388184
base,stationary,True,False,71,905.0449999999998,0.966412213740458,577.0666666666667,22.0,0.7333333333333333,1.0596491912748354,0.3890419006347656
base,trend,False,True,42,1736.9740000000002,0.8190661478599222,454.6,186.0,6.2,1.0,0.4976980686187744
base,trend,False,True,43,1715.1129999999998,0.8905325443786982,458.3333333333333,111.0,3.7,1.0,0.28493785858154297
base,trend,False,True,44,1736.2789999999998,0.8857421875,450.4,117.0,3.9,1.0,0.41514110565185547
base,trend,False,True,45,1763.083,0.7723342939481268,442.03333333333336,237.0,7.9,1.0,0.28247904777526855
base,trend,False,True,46,1703.606,0.7786561264822134,450.4,224.0,7.466666666666667,1.0,0.27286195755004883
base,trend,False,True,47,1849.512,0.709409594095941,421.06666666666666,315.0,10.5,1.0,0.30715322494506836
base,trend,False,True,48,1758.6270000000002,0.8177434908389585,442.3333333333333,189.0,6.3,1.0,0.27771997451782227
base,trend,False,True,49,1767.482,0.7708533077660594,438.8333333333333,239.0,7.966666666666667,1.0,0.3103029727935791
base,trend,False,True,50,1800.911,0.8760643330179754,449.3,131.0,4.366666666666666,1.0,0.34999775886535645
base,trend,False,True,51,1745.027,0.8658892128279884,452.2,138.0,4.6,1.0,0.313215970993042
base,trend,False,True,52,1720.623,0.8058823529411765,452.0,198.0,6.6,1.0,0.3381810188293457
base,trend,False,True,53,1664.6599999999999,0.841733870967742,460.23333333333335,157.0,5.233333333333333,1.0,0.30326104164123535
base,trend,False,True,54,1631.701,0.9538461538461538,484.1333333333333,45.0,1.5,1.0,0.38327693939208984
base,trend,False,True,55,1661.058,0.9706774519716885,484.43333333333334,29.0,0.9666666666666667,1.0,0.31611084938049316
base,trend,False,True,56,1807.021,0.8143261074458058,441.1666666666667,197.0,6.566666666666666,1.0,0.2967500686645508
base,trend,False,True,57,1810.574,0.8727615457115928,447.6,135.0,4.5,1.0,0.5431020259857178
base,trend,False,True,58,1737.067,0.8664717348927875,455.53333333333336,137.0,4.566666666666666,1.0,0.8672819137573242
base,trend,False,True,59,1693.971,0.8659384309831182,466.7,135.0,4.5,1.0,0.4618217945098877
base,trend,False,True,60,1663.011,0.9110212335692619,469.3,88.0,2.933333333333333,1.0,0.4549098014831543
