Network,Demand,Goodwill,Backlog,Agent,Horizon,Profit_Mean,Profit_Std,FillRate_Mean,AvgInv_Mean,Unfulfilled_Mean,Time_Mean_Sec,Num_Seeds
base,shock,True,False,DLP_Adaptive,26,1145.722,113.0452447314791,0.9635523011746574,630.6066666666668,27.6,0.9705636501312256,5
base,shock,True,False,DLP_Adaptive_Blind,26,795.2246000000001,21.843275867872904,0.8890029732954148,671.4666666666667,72.6,1.0488691329956055,5
base,trend+seasonal,False,True,DLP_H10,10,1515.3830000000003,63.803449326819326,0.062105049072874216,469.70666666666665,1009.8,0.7643601894378662,5
base,trend+seasonal,False,True,DLP_H10_Blind,10,1401.328,63.53825041657979,0.0,480.77333333333337,1231.2,0.7593070030212402,5
base,trend+seasonal,False,True,DLP_Adaptive,26,1538.1388000000002,54.5575554525677,0.062105049072874216,469.67333333333335,1051.8,1.024675178527832,5
base,trend+seasonal,False,True,DLP_Adaptive_Blind,26,1319.3126,78.24211955104484,0.0,504.18666666666667,2184.2,1.0297109127044677,5
base,trend+seasonal,False,False,DLP_H10,10,1069.4029999999998,37.34830017550999,0.7547650885563031,600.76,237.0,0.7319653034210205,5
base,trend+seasonal,False,False,DLP_H10_Blind,10,977.262,44.9917657577472,0.7130582758361299,612.6733333333334,277.0,0.7349471092224121,5
base,trend+seasonal,False,False,DLP_Adaptive,26,1115.4538,38.69602506408116,0.755166694982006,602.6333333333333,236.6,1.057255506515503,5
base,trend+seasonal,False,False,DLP_Adaptive_Blind,26,925.6317999999999,40.14174509609666,0.6706893781719473,638.88,317.8,1.0525082111358643,5
base,trend+seasonal,True,True,DLP_H10,10,806.3870000000001,96.97041649905391,0.23603616956005052,609.6200000000001,468.0,0.7557539939880371,5
base,trend+seasonal,True,True,DLP_H10_Blind,10,599.117,45.242257635975655,0.3896082061700833,651.5133333333333,321.2,0.7845600605010986,5
base,trend+seasonal,True,True,DLP_Adaptive,26,842.7028,96.10030751126656,0.23603616956005052,605.7133333333334,468.0,1.004331111907959,5
base,trend+seasonal,True,True,DLP_Adaptive_Blind,26,604.1299999999999,68.34252219518977,0.22288742558081576,654.2533333333333,411.0,1.0202459335327148,5
base,trend+seasonal,True,False,DLP_H10,10,629.409,57.82396435734925,0.776964570788282,670.2266666666667,149.6,0.7465368270874023,5
base,trend+seasonal,True,False,DLP_H10_Blind,10,562.324,39.53349091593107,0.8194883716551242,683.1666666666667,108.8,0.7716807842254638,5
base,trend+seasonal,True,False,DLP_Adaptive,26,677.6959999999999,57.261302356827315,0.776964570788282,666.2266666666667,149.6,1.0175848484039307,5
base,trend+seasonal,True,False,DLP_Adaptive_Blind,26,546.7113999999999,33.92648895833463,0.8008822824829126,689.6933333333334,115.4,1.021226739883423,5
base,trend+shock,False,True,DLP_H10,10,2298.679,20.474040734549604,0.38389359614884633,342.0133333333333,1020.4,0.7548580646514893,5
base,trend+shock,False,True,DLP_H10_Blind,10,2188.984,14.984894527490024,0.0,373.3066666666667,1959.2,0.8194653987884521,5
base,trend+shock,False,True,DLP_Adaptive,26,2950.9702,72.756318833212,0.7718564536153102,341.9,379.4,1.1419794082641601,5
base,trend+shock,False,True,DLP_Adaptive_Blind,26,793.6786,51.22913242911694,0.0,561.0333333333333,6728.2,1.0649687767028808,5
base,trend+shock,False,False,DLP_H10,10,2350.007,2.612241566164934,0.807887183309757,383.12666666666667,317.4,0.7261216640472412,5
base,trend+shock,False,False,DLP_H10_Blind,10,2003.766,42.50041698618969,0.722373133796965,502.16666666666663,457.8,0.868465518951416,5
base,trend+shock,False,False,DLP_Adaptive,26,2764.384,55.8015434732769,0.9314543741376042,377.4666666666666,113.4,1.1724112033843994,5
base,trend+shock,False,False,DLP_Adaptive_Blind,26,965.4985999999999,36.05491353255475,0.4214069975000264,636.3533333333332,953.4,1.1258392333984375,5
base,trend+shock,True,True,DLP_H10,10,1830.444,200.46980516776097,0.8932949106812309,489.0733333333334,114.0,0.7846444129943848,5
base,trend+shock,True,True,DLP_H10_Blind,10,1143.559,71.86609300636837,0.6811362960207765,591.8066666666667,245.4,0.7475755691528321,5
base,trend+shock,True,True,DLP_Adaptive,26,1852.6188000000002,188.02143357968535,0.8968081438217391,487.67333333333335,111.2,0.974971342086792,5
base,trend+shock,True,True,DLP_Adaptive_Blind,26,1004.3405999999999,49.121473461613455,0.41600877313498524,612.2066666666667,409.8,1.0049795627593994,5
base,trend+shock,True,False,DLP_H10,10,1831.119,146.64768888052745,0.9451979520793161,500.9666666666666,63.0,0.7415497779846192,5
base,trend+shock,True,False,DLP_H10_Blind,10,1084.5610000000001,27.69887802781917,0.8583978024269168,613.9399999999999,123.0,0.7658194065093994,5
base,trend+shock,True,False,DLP_Adaptive,26,1858.9218,131.5645911397135,0.9447553174035624,495.70666666666665,63.6,1.0036925792694091,5
base,trend+shock,True,False,DLP_Adaptive_Blind,26,954.4165999999999,65.60079176534376,0.7956727434695349,641.5066666666668,169.4,1.017790937423706,5
base,seasonal+shock,False,True,DLP_H10,10,1226.265,61.99622738522075,0.5694216905558933,554.5733333333333,349.8,0.7654191493988037,5
base,seasonal+shock,False,True,DLP_H10_Blind,10,1160.0440000000003,64.60859597607731,0.43170110084298835,560.7666666666667,459.0,0.7401181221008301,5
base,seasonal+shock,False,True,DLP_Adaptive,26,1258.6301999999998,54.80273985632467,0.5174226545060395,558.2,392.8,1.0400400638580323,5
base,seasonal+shock,False,True,DLP_Adaptive_Blind,26,1159.494,72.11731429552829,0.01590819436973283,570.04,843.2,1.1942594051361084,5
base,seasonal+shock,False,False,DLP_H10,10,1008.0550000000001,34.09572363215074,0.8651535742993657,614.9733333333334,108.8,0.8028507709503174,5
base,seasonal+shock,False,False,DLP_H10_Blind,10,931.7729999999999,26.334885152588072,0.8246225341612938,627.9133333333333,141.4,0.8883545875549317,5
base,seasonal+shock,False,False,DLP_Adaptive,26,1054.7926,35.69212195765331,0.8658756975831021,616.7066666666667,108.2,1.6824116230010986,5
base,seasonal+shock,False,False,DLP_Adaptive_Blind,26,904.0423999999999,34.33652520917043,0.7841869600065284,645.34,173.6,1.4130707740783692,5
base,seasonal+shock,True,True,DLP_H10,10,762.0229999999999,77.72443146141376,0.7371075474726883,637.8866666666667,150.4,0.9998711109161377,5
base,seasonal+shock,True,True,DLP_H10_Blind,10,710.5809999999999,21.020275545292005,0.7792797714866515,649.96,126.2,1.0190933704376222,5
base,seasonal+shock,True,True,DLP_Adaptive,26,805.0265999999999,76.71876767936251,0.7371075474726883,633.8866666666667,150.4,1.3575755596160888,5
