Network,Demand,Goodwill,Backlog,Agent,Profit_Mean,Profit_Std,FillRate_Mean,AvgInv_Mean,Unfulfilled_Mean,Time_Mean_Sec,Num_Seeds
base,trend+shock,False,True,DLP_Blind,2183.854,14.984894527490024,0.0,397.3066666666667,1959.2,1.6417420387268067,5
base,trend+shock,False,False,Oracle,2810.5122,61.0924308614415,0.9438209800342493,351.1066666666667,92.8,0.14126958847045898,5
base,trend+shock,False,False,DLP,2344.8769999999995,2.6122415661650735,0.807887183309757,407.12666666666667,317.4,2.4204313278198244,5
base,trend+shock,False,False,DLP_Blind,1998.636,42.50041698618957,0.722373133796965,518.6333333333333,457.8,3.6670090198516845,5
base,trend+shock,True,True,Oracle,2005.8091999999997,155.14622365807045,0.7892973732142151,470.96000000000004,267.0,0.2334744453430176,5
base,trend+shock,True,True,DLP,1825.3139999999999,200.46980516776088,0.8932949106812309,507.3666666666666,114.0,1.9128934383392333,5
base,trend+shock,True,True,DLP_Blind,1138.429,71.86609300636843,0.6811362960207765,612.8133333333333,245.4,1.641910457611084,5
base,trend+shock,True,False,Oracle,2085.079,166.1315463601058,0.9278319439623619,466.4933333333332,99.6,0.1450355052947998,5
base,trend+shock,True,False,DLP,1825.989,146.64768888052748,0.9451979520793161,519.2133333333334,63.0,1.796572208404541,5
base,trend+shock,True,False,DLP_Blind,1079.4309999999998,27.698878027819127,0.8583978024269168,635.0533333333333,123.0,1.8896021366119384,5
base,seasonal+shock,False,True,Oracle,1262.407,65.30970189489459,0.6730685172854388,493.4666666666667,264.4,0.1714968204498291,5
base,seasonal+shock,False,True,DLP,1221.135,61.99622738522075,0.5694216905558933,574.7133333333334,349.8,1.7349044322967528,5
base,seasonal+shock,False,True,DLP_Blind,1154.9140000000002,64.6085959760773,0.43170110084298835,582.1266666666667,459.0,2.841748762130737,5
base,seasonal+shock,False,False,Oracle,1071.2692,45.6801004788738,0.8819212525014531,544.6266666666667,95.0,0.19060096740722657,5
base,seasonal+shock,False,False,DLP,1002.925,34.095723632150666,0.8651535742993657,635.1866666666667,108.8,2.188664674758911,5
base,seasonal+shock,False,False,DLP_Blind,926.643,26.334885152588036,0.8246225341612938,649.7666666666667,141.4,1.6583926200866699,5
base,seasonal+shock,True,True,Oracle,902.1510000000002,35.73224478254908,0.529680956585182,525.6866666666667,306.4,0.14141030311584474,5
base,seasonal+shock,True,True,DLP,756.113,78.4849950372681,0.7371075474726883,663.88,150.4,1.6098310947418213,5
base,seasonal+shock,True,True,DLP_Blind,702.615,21.310411070648108,0.7792797714866515,681.74,126.2,1.690955924987793,5
base,seasonal+shock,True,False,Oracle,794.3226000000001,45.731915899511506,0.8611044509847593,569.1866666666667,95.2,0.2115349292755127,5
base,seasonal+shock,True,False,DLP,679.95,71.44021423540109,0.9028514719462437,692.1866666666667,59.2,3.54656867980957,5
base,seasonal+shock,True,False,DLP_Blind,703.043,31.141985582168637,0.8938482763973946,690.9666666666667,66.0,2.680770683288574,5
base,trend+seasonal+shock,False,True,Oracle,2422.0263999999997,63.47696689855309,0.3071513679221131,309.76000000000005,960.6,0.1569948673248291,5
base,trend+seasonal+shock,False,True,DLP,2286.208,16.708093428036683,0.20909474492264618,365.93999999999994,1099.8,2.071014642715454,5
base,trend+seasonal+shock,False,True,DLP_Blind,2144.564,65.44138831045673,0.0,381.8466666666667,1570.6,1.7707709789276123,5
base,trend+seasonal+shock,False,False,Oracle,2022.3056000000001,55.369901876741636,0.8420905192298405,421.00666666666666,218.6,0.13103094100952148,5
base,trend+seasonal+shock,False,False,DLP,1956.0459999999998,39.51908063201873,0.8295476001136484,481.1066666666667,236.2,1.6089169025421142,5
base,trend+seasonal+shock,False,False,DLP_Blind,1582.69,50.29472984319533,0.7085111507864249,540.2,403.6,1.5634751319885254,5
base,trend+seasonal+shock,True,True,Oracle,1374.3856,48.7088639760772,0.1356437507612483,437.7466666666666,824.4,0.15995278358459472,5
base,trend+seasonal+shock,True,True,DLP,1163.7,157.77918668189412,0.3878988078105371,574.7933333333333,476.8,1.576077127456665,5
base,trend+seasonal+shock,True,True,DLP_Blind,855.22,27.639416600210634,0.4661902903753665,640.26,349.6,1.6093969345092773,5
base,trend+seasonal+shock,True,False,Oracle,1214.3744,51.32622933588628,0.811394798765496,497.18666666666667,190.0,0.1367678165435791,5
base,trend+seasonal+shock,True,False,DLP,1055.605,101.0434751480767,0.8252672302110977,625.52,152.8,1.6411190986633302,5
base,trend+seasonal+shock,True,False,DLP_Blind,859.943,38.810301544821854,0.8254967873892054,661.7066666666667,133.8,1.5895378589630127,5
serial,stationary,False,True,Oracle,1032.0179999999998,38.72207608070621,0.9869523809523809,81.67999999999999,8.2,0.08554439544677735,5
serial,stationary,False,True,DLP,631.328,31.1820059649792,0.0,72.07333333333334,1234.2,1.2687551975250244,5
serial,stationary,False,True,DLP_Blind,630.7920000000001,25.52805155118578,0.0,71.7,1223.0,1.6494429588317872,5
serial,stationary,False,False,Oracle,1024.326,31.318179129700415,0.9917142857142857,83.37333333333333,5.2,0.15107135772705077,5
serial,stationary,False,False,DLP,731.748,1.560658835235908,0.6715281800000331,78.79333333333334,196.8,1.2129331588745118,5
serial,stationary,False,False,DLP_Blind,729.1220000000001,2.1374227471420104,0.6715281800000331,83.62,196.8,1.2027437686920166,5
serial,stationary,True,True,Oracle,1059.4640000000002,65.95070904850077,0.9842497771930976,96.11333333333333,9.8,0.08934822082519531,5
serial,stationary,True,True,DLP,724.0440000000001,7.308380395135434,0.582029325943871,92.94666666666667,186.6,1.6570890426635743,5
serial,stationary,True,True,DLP_Blind,709.554,9.708935266031995,0.2652786339781531,84.06,353.6,1.90957932472229,5
serial,stationary,True,False,Oracle,1052.108,70.87333360298504,0.9888399411275237,96.76,7.0,0.11473727226257324,5
serial,stationary,True,False,DLP,736.83,1.6851706145075869,0.8304772882864976,92.72666666666666,82.0,1.3037287235260009,5
serial,stationary,True,False,DLP_Blind,733.6179999999999,3.1359808672885805,0.8091938247342648,92.76,96.4,1.2278018951416017,5
serial,trend,False,True,Oracle,1634.172,46.74429779128145,0.9623994400739135,86.56,39.0,0.08114562034606934,5
serial,trend,False,True,DLP,268.13199999999995,44.361069599368356,0.0,48.14,4955.8,1.1040768146514892,5
serial,trend,False,True,DLP_Blind,234.33,33.54206672225193,0.0,58.33333333333333,5261.6,0.9276666641235352,5
serial,trend,False,False,Oracle,1589.888,39.14037066763681,0.9699942734271657,90.06666666666668,31.0,0.0527381420135498,5
serial,trend,False,False,DLP,699.386,2.744839521720712,0.39128733880610284,52.8,623.4,0.6361520767211915,5
serial,trend,False,False,DLP_Blind,693.426,2.170913171916356,0.39128733880610284,71.66,623.4,0.6464112281799317,5
serial,trend,True,True,Oracle,1448.672,197.6004032789407,0.9478058031366239,155.87333333333333,50.6,0.04736881256103516,5
serial,trend,True,True,DLP,601.12,42.937087465267155,0.0,56.44,1566.8,0.9988724708557128,5
serial,trend,True,True,DLP_Blind,642.542,17.677838555660546,0.0,65.21333333333334,1124.0,0.7839762210845947,5
serial,trend,True,False,Oracle,1422.586,170.01636928249,0.9631260316182217,153.06,37.0,0.05221819877624512,5
serial,trend,True,False,DLP,733.97,2.247140405048146,0.6249021375637079,58.339999999999996,240.6,0.7594311714172364,5
serial,trend,True,False,DLP_Blind,730.9419999999998,2.6364020937634045,0.6554410834123161,76.6,211.4,0.6927126884460449,5
serial,seasonal,False,True,Oracle,1040.084,30.56278560602742,0.8652441573888364,54.17999999999999,82.4,0.04612059593200683,5
serial,seasonal,False,True,DLP,576.9419999999998,39.8417536762628,0.0,43.81333333333333,1887.6,0.7591326236724854,5
serial,seasonal,False,True,DLP_Blind,541.3860000000001,32.21398118829772,0.0,54.46666666666666,2207.2,1.2002617359161376,5
serial,seasonal,False,False,Oracle,964.3619999999999,22.724406614915168,0.9115087366123003,62.32000000000001,53.6,0.3192114353179932,5
serial,seasonal,False,False,DLP,741.324,1.8991219023537877,0.6668123539829457,54.81333333333333,200.8,2.2336209297180174,5
serial,seasonal,False,False,DLP_Blind,731.3860000000001,3.7924904746090338,0.6668123539829457,75.21333333333332,200.8,2.0450541973114014,5
serial,seasonal,True,True,Oracle,876.5959999999999,69.20588142636431,0.8445954498387124,104.18666666666668,87.6,0.1434809684753418,5
serial,seasonal,True,True,DLP,723.488,16.63976129636478,0.35992929169758225,57.56,329.2,1.4924715518951417,5
serial,seasonal,True,True,DLP_Blind,701.4979999999999,30.273699080224723,0.31729600246739575,76.9,285.4,1.3715246677398683,5
serial,seasonal,True,False,Oracle,816.406,59.78944943717078,0.9017593096199527,103.33333333333333,55.8,0.08672080039978028,5
serial,seasonal,True,False,DLP,746.8639999999999,2.1453633724849452,0.8143531334871692,64.78,91.6,1.8737513542175293,5
serial,seasonal,True,False,DLP_Blind,706.94,33.614788412245,0.8000677059815938,94.41333333333333,97.8,3.5818206787109377,5
serial,shock,False,True,Oracle,1441.464,45.527436826599406,0.9910553396423893,97.1,8.2,0.3790937900543213,5
serial,shock,False,True,DLP,413.26599999999996,38.937975602231795,0.0,67.9,3432.2,3.824369287490845,5
serial,shock,False,True,DLP_Blind,400.98,30.126859112758517,0.0,71.05333333333333,3526.8,1.9486092567443847,5
serial,shock,False,False,Oracle,1433.896,40.45692207768655,0.9943233134985985,98.38,5.2,0.08808426856994629,5
serial,shock,False,False,DLP,705.1659999999999,2.2390587308062733,0.4508207028807224,72.58666666666666,488.4,0.9906805038452149,5
serial,shock,False,False,DLP_Blind,701.026,2.369756105593989,0.4508207028807224,82.3,488.4,1.3483645915985107,5
serial,shock,True,True,Oracle,1501.8919999999998,130.99639909554762,0.9893197381856369,124.81333333333332,9.8,0.08006038665771484,5
serial,shock,True,True,DLP,647.2919999999999,26.28327179024712,0.0,79.78,1020.0,1.1990024089813232,5
serial,shock,True,True,DLP_Blind,640.174,36.25734993073818,0.0,79.76,1079.4,1.1233723640441895,5
serial,shock,True,False,Oracle,1494.6680000000001,136.1283549301908,0.9924587516385518,125.01999999999998,7.0,0.076481294631958,5
serial,shock,True,False,DLP,728.512,0.897182255731731,0.6532660422565127,80.73333333333333,212.6,1.750260019302368,5
serial,shock,True,False,DLP_Blind,726.7459999999999,3.9344763311017665,0.6802093631102385,89.34,191.0,1.189646053314209,5
serial,trend+seasonal,False,True,Oracle,1534.3560000000002,45.7485394739547,0.7311488513271481,69.08666666666667,261.8,0.11153740882873535,5
serial,trend+seasonal,False,True,DLP,160.78599999999994,55.87868631240362,0.0,32.72666666666667,6092.2,1.6348045349121094,5
serial,trend+seasonal,False,True,DLP_Blind,99.11199999999994,44.69056428375014,0.0,51.10000000000001,6643.4,1.425696039199829,5
serial,trend+seasonal,False,False,Oracle,1394.458,38.64304563566383,0.8877871355020599,71.75333333333333,108.6,0.1044532299041748,5
serial,trend+seasonal,False,False,DLP,710.1919999999999,3.499367942929133,0.41548512763360546,42.093333333333334,564.2,1.5834540367126464,5
serial,trend+seasonal,False,False,DLP_Blind,701.3,2.2633514972270823,0.41548512763360546,66.72666666666666,564.2,1.819797658920288,5
serial,trend+seasonal,True,True,Oracle,872.342,90.95823797765657,0.7567972515114119,213.95333333333332,178.0,0.1646409034729004,5
serial,trend+seasonal,True,True,DLP,615.9540000000001,24.411864000931985,0.0,38.84666666666667,1493.0,1.4953953266143798,5
serial,trend+seasonal,True,True,DLP_Blind,664.668,20.274233302396446,0.0,54.74666666666667,954.2,1.5800730228424071,5
