agent,demand,goodwill,seed,profit
Residual_Specific,shock,False,109,1337.3572446190342
Oracle,shock,True,100,1706.551
Heuristic,shock,True,100,1065.435354166667
DLP,shock,True,100,1040.0193091415
MSSP,shock,True,100,1182.8400000000001
MSSP_Blind,shock,True,100,990.6050000000001
DLP_Blind,shock,True,100,941.62341667
Residual_General,shock,True,100,1130.014912148708
Residual_Specific,shock,True,100,1229.161315359448
Oracle,shock,True,101,1408.963
Heuristic,shock,True,101,1021.1365555555556
DLP,shock,True,101,822.761786341
MSSP,shock,True,101,871.2950000000001
MSSP_Blind,shock,True,101,1027.255
DLP_Blind,shock,True,101,1011.076
Residual_General,shock,True,101,1014.935522447737
Residual_Specific,shock,True,101,975.8199317257424
Oracle,shock,True,102,1460.126
Heuristic,shock,True,102,1009.33028125
DLP,shock,True,102,961.5395845266
MSSP,shock,True,102,984.1700000000001
MSSP_Blind,shock,True,102,972.685
DLP_Blind,shock,True,102,833.727
Residual_General,shock,True,102,1007.5840184462147
Residual_Specific,shock,True,102,1112.2784564670408
Oracle,shock,True,103,1534.822
Heuristic,shock,True,103,1102.607564236111
DLP,shock,True,103,1120.735023384
MSSP,shock,True,103,1463.84
MSSP_Blind,shock,True,103,924.8600000000001
DLP_Blind,shock,True,103,784.369
Residual_General,shock,True,103,1127.9399894827736
Residual_Specific,shock,True,103,1128.7206368653892
Oracle,shock,True,104,1588.989
Heuristic,shock,True,104,1190.4487916666667
DLP,shock,True,104,1171.9239268355
MSSP,shock,True,104,1555.85
MSSP_Blind,shock,True,104,943.685
DLP_Blind,shock,True,104,854.2400000000001
Residual_General,shock,True,104,1215.4713183388967
Residual_Specific,shock,True,104,1216.601826079523
Oracle,shock,True,105,1668.353
Heuristic,shock,True,105,1184.6389149305555
DLP,shock,True,105,1061.592472013
MSSP,shock,True,105,1411.43
MSSP_Blind,shock,True,105,964.23
DLP_Blind,shock,True,105,851.7106666300001
Residual_General,shock,True,105,1183.0068923191739
Residual_Specific,shock,True,105,1182.5222917569
Oracle,shock,True,106,1803.011
Heuristic,shock,True,106,1226.2439814814816
DLP,shock,True,106,762.6643486834
MSSP,shock,True,106,944.105
MSSP_Blind,shock,True,106,1002.915
DLP_Blind,shock,True,106,832.3676666000001
Residual_General,shock,True,106,1224.4395098321008
Residual_Specific,shock,True,106,1225.2829886426384
Oracle,shock,True,107,1711.629
Heuristic,shock,True,107,1172.6307161458333
DLP,shock,True,107,1618.9649015134
MSSP,shock,True,107,1677.365
MSSP_Blind,shock,True,107,917.04
DLP_Blind,shock,True,107,911.7919999999999
Residual_General,shock,True,107,1170.8516874431043
Residual_Specific,shock,True,107,1170.31634919485
Oracle,shock,True,108,1730.466
Heuristic,shock,True,108,1190.285013888889
DLP,shock,True,108,1188.0375312215
MSSP,shock,True,108,1469.68
MSSP_Blind,shock,True,108,809.6049999999999
DLP_Blind,shock,True,108,771.0804999999999
Residual_General,shock,True,108,1187.6679642371837
Residual_Specific,shock,True,108,1092.1772500909917
Oracle,shock,True,109,1567.7319999999997
Heuristic,shock,True,109,1140.9607291666666
DLP,shock,True,109,734.3239500459999
MSSP,shock,True,109,1114.6399999999999
MSSP_Blind,shock,True,109,1114.045
DLP_Blind,shock,True,109,973.5996666563501
Residual_General,shock,True,109,1171.5931124096128
Residual_Specific,shock,True,109,1247.9410620944814
