Network,Demand,Goodwill,Backlog,Seed,Old_Profit,Old_FillRate,Old_Unfulfilled,Old_AvgInv,Old_AvgBacklog,Old_Sentiment,Old_SolveTime,Clv_Profit,Clv_FillRate,Clv_Unfulfilled,Clv_AvgInv,Clv_AvgBacklog,Clv_Sentiment,Clv_SolveTime
base,stationary,True,True,62,1028.649,0.9738372093023255,18.0,554.7333333333333,0.6,1.1891618702084263,0,664.549,0.7720306513409961,119.0,100.74444444444444,3.966666666666667,0.37536375235678127,3.8196229934692383
base,stationary,True,True,63,1040.364,1.0,0.0,579.5666666666667,0.0,1.334503876567234,0,651.6870000000001,0.9007633587786259,52.0,104.31111111111112,1.7333333333333334,0.5953437370997005,3.825015068054199
base,stationary,True,True,64,986.6809999999998,0.9166666666666666,56.0,553.6,1.8666666666666667,1.0596491912748354,0,692.732,0.8845437616387337,62.0,100.31111111111112,2.066666666666667,0.5953437370997003,3.754365921020508
base,stationary,True,True,65,815.548,0.9813874788494078,11.0,596.0,0.36666666666666664,1.0596491912748354,0,648.9250000000001,0.9415204678362573,30.0,104.79444444444445,1.0,0.6681079716341083,3.7450790405273438
base,stationary,True,True,66,998.8039999999999,1.0,0.0,583.0333333333333,0.0,1.334503876567234,0,663.686,0.9238095238095239,40.0,104.27777777777777,1.3333333333333333,0.7497656126116105,3.7748489379882812
base,stationary,True,True,67,889.8979999999999,1.0,0.0,593.7666666666667,0.0,1.334503876567234,0,541.774,0.91792656587473,38.0,106.76666666666667,1.2666666666666666,0.6681079716341084,3.9518110752105713
base,stationary,True,True,68,1009.075,1.0,0.0,576.3666666666667,0.0,1.334503876567234,0,660.463,0.9478764478764479,27.0,103.77222222222223,0.9,0.6681079716341083,3.763915777206421
base,stationary,True,True,69,914.789,0.9058084772370487,60.0,560.5333333333333,2.0,1.0596491912748354,0,686.673,0.8764044943820225,66.0,99.34444444444445,2.2,0.5953437370997006,3.779179096221924
base,stationary,True,True,70,990.5649999999998,1.0,0.0,586.1666666666666,0.0,1.334503876567234,0,616.0529999999997,0.9437751004016064,28.0,105.29444444444445,0.9333333333333333,0.530504320187852,3.879307985305786
base,stationary,True,True,71,952.53,0.9603053435114504,26.0,565.2666666666667,0.8666666666666667,1.0596491912748354,0,633.184,0.8300395256916996,86.0,102.05555555555556,2.8666666666666667,0.42124154431149885,3.7797398567199707
base,stationary,True,False,42,916.1189999999999,0.9695121951219512,20.0,580.3,0.6666666666666666,1.1891618702084263,0,611.5160000000001,0.9424184261036468,30.0,102.89444444444445,1.0,0.5953437370997003,4.171694755554199
base,stationary,True,False,43,992.0920000000001,1.0,0.0,579.8,0.0,1.334503876567234,0,654.0570000000001,0.9279279279279279,40.0,104.05,1.3333333333333333,0.7497656126116105,4.762669086456299
base,stationary,True,False,44,932.355,0.983206106870229,11.0,578.8666666666667,0.36666666666666664,1.1891618702084263,0,666.9200000000001,0.9187279151943463,46.0,102.37777777777778,1.5333333333333334,0.6681079716341084,4.658779144287109
base,stationary,True,False,45,910.3660000000001,0.9768518518518519,15.0,581.7333333333333,0.5,1.1891618702084263,0,687.732,0.9497307001795332,28.0,102.51666666666667,0.9333333333333333,0.841403631930807,3.909064769744873
base,stationary,True,False,46,739.121,0.9489795918367347,30.0,602.6333333333333,1.0,0.9442418536112392,0,591.5220000000003,0.9216061185468452,41.0,103.41666666666667,1.3666666666666667,0.530504320187852,4.005807876586914
base,stationary,True,False,47,803.4750000000001,0.930379746835443,44.0,585.7666666666667,1.4666666666666666,0.9442418536112391,0,622.3430000000001,0.9102564102564102,49.0,101.57222222222222,1.6333333333333333,0.5953437370997003,3.7082576751708984
base,stationary,True,False,48,919.1580000000001,0.9845679012345679,10.0,576.0333333333333,0.3333333333333333,1.1891618702084263,0,781.2749999999999,0.9596638655462185,24.0,99.7611111111111,0.8,0.8414036319308071,3.7010695934295654
base,stationary,True,False,49,770.072,0.9612141652613828,23.0,588.7333333333333,0.7666666666666667,0.9442418536112391,0,634.6129999999998,0.9180327868852459,45.0,102.81666666666666,1.5,0.6681079716341083,3.7640578746795654
base,stationary,True,False,50,980.7499999999998,0.9955223880597015,3.0,571.0,0.1,1.1891618702084263,0,694.406,0.926829268292683,42.0,101.08333333333333,1.4,0.5953437370997005,4.167369842529297
base,stationary,True,False,51,951.491,0.9804511278195489,13.0,572.2333333333333,0.43333333333333335,1.1891618702084263,0,610.2110000000001,0.8805704099821747,67.0,103.37777777777778,2.2333333333333334,0.5953437370997006,4.187371730804443
base,stationary,True,False,52,912.585,0.9829457364341085,11.0,581.6333333333333,0.36666666666666664,1.1891618702084263,0,717.3179999999998,0.9328743545611016,39.0,100.92777777777778,1.3,0.7497656126116106,4.2275450229644775
base,stationary,True,False,53,926.4470000000001,0.9712556732223904,19.0,584.0333333333333,0.6333333333333333,1.1891618702084263,0,663.2349999999999,0.9026086956521739,56.0,102.77777777777777,1.8666666666666667,0.6681079716341084,5.184849262237549
base,stationary,True,False,54,940.2429999999998,1.0,0.0,600.2,0.0,1.334503876567234,0,623.6179999999999,0.9280442804428044,39.0,107.12777777777778,1.3,0.7497656126116105,4.818169116973877
base,stationary,True,False,55,942.4549999999999,1.0,0.0,603.9,0.0,1.334503876567234,0,575.716,0.9449901768172888,28.0,107.99444444444444,0.9333333333333333,0.6681079716341083,4.358593702316284
base,stationary,True,False,56,959.008,0.9762258543833581,16.0,573.8333333333334,0.5333333333333333,1.1891618702084263,0,729.723,0.9383561643835616,36.0,100.18333333333334,1.2,0.6681079716341084,5.029612064361572
base,stationary,True,False,57,940.009,0.9908116385911179,6.0,575.9,0.2,1.1891618702084263,0,691.7289999999999,0.9003378378378378,59.0,102.75,1.9666666666666666,0.7497656126116106,4.576937198638916
base,stationary,True,False,58,940.3710000000001,0.9984591679506933,1.0,578.7333333333333,0.03333333333333333,1.1891618702084263,0,617.0869999999999,0.9429657794676806,30.0,103.82777777777778,1.0,0.5953437370997005,6.021329164505005
base,stationary,True,False,59,971.644,1.0,0.0,586.6666666666666,0.0,1.334503876567234,0,652.3439999999999,0.9432234432234432,31.0,105.2611111111111,1.0333333333333334,0.8414036319308071,4.341539144515991
base,stationary,True,False,60,972.8430000000001,1.0,0.0,581.0,0.0,1.334503876567234,0,644.3989999999998,0.9340659340659341,36.0,104.31666666666666,1.2,0.7497656126116105,4.279238224029541
base,stationary,True,False,61,1018.2609999999999,1.0,0.0,576.9,0.0,1.334503876567234,0,620.924,0.9174311926605505,45.0,104.86111111111111,1.5,0.7497656126116105,4.190509796142578
base,stationary,True,False,62,989.145,0.9738372093023255,18.0,564.5333333333333,0.6,1.1891618702084263,0,685.0190000000002,0.9165217391304348,48.0,100.37222222222222,1.6,0.6681079716341083,4.204219818115234
base,stationary,True,False,63,1040.364,1.0,0.0,579.5666666666667,0.0,1.334503876567234,0,710.5209999999997,0.9344827586206896,38.0,103.07222222222222,1.2666666666666666,0.6681079716341084,5.343212127685547
base,stationary,True,False,64,898.471,0.9389880952380952,41.0,575.5333333333333,1.3666666666666667,1.0596491912748354,0,721.5970000000001,0.9006622516556292,60.0,99.9888888888889,2.0,0.6681079716341084,5.233440160751343
base,stationary,True,False,65,790.008,0.9813874788494078,11.0,601.2666666666667,0.36666666666666664,1.0596491912748354,0,573.3209999999999,0.94831013916501,26.0,106.31111111111112,0.8666666666666667,0.5953437370997003,5.306948184967041
base,stationary,True,False,66,998.8039999999999,1.0,0.0,583.0333333333333,0.0,1.334503876567234,0,698.0169999999999,0.9419014084507042,33.0,103.1,1.1,0.6681079716341084,5.156324863433838
base,stationary,True,False,67,889.8979999999999,1.0,0.0,593.7666666666667,0.0,1.334503876567234,0,646.2119999999999,0.9533582089552238,25.0,105.34444444444445,0.8333333333333334,0.9442418536112394,5.566206932067871
base,stationary,True,False,68,1009.075,1.0,0.0,576.3666666666667,0.0,1.334503876567234,0,741.9059999999998,0.9519725557461407,28.0,101.96666666666667,0.9333333333333333,0.7497656126116105,5.173959016799927
base,stationary,True,False,69,829.2559999999999,0.9372056514913658,40.0,581.9333333333333,1.3333333333333333,1.0596491912748354,0,609.47,0.9075785582255083,50.0,102.17222222222222,1.6666666666666667,0.5953437370997005,4.165200710296631
