Network,Demand,Goodwill,Backlog,FillRate_Mean_DLP,FillRate_Mean_DLP_Blind,FillRate_Mean_Oracle,Profit_Mean_DLP,Profit_Mean_DLP_Blind,Profit_Mean_Oracle,Unfulfilled_Mean_DLP,Unfulfilled_Mean_DLP_Blind,Unfulfilled_Mean_Oracle,DLP_Gap_vs_Oracle_%,VPF_DLP
serial,trend,True,False,0.6249021375637079,0.6554410834123161,0.9631260316182217,733.97,730.9419999999998,1422.586,240.6,211.4,37.0,48.41,3.03
serial,trend,True,True,0.0,0.0,0.9478058031366239,601.12,642.542,1448.672,1566.8,1124.0,50.6,58.51,-41.42
serial,trend+seasonal,False,False,0.41548512763360546,0.41548512763360546,0.8877871355020599,710.1919999999999,701.3,1394.458,564.2,564.2,108.6,49.07,8.89
serial,trend+seasonal,False,True,0.0,0.0,0.7311488513271481,160.78599999999994,99.11199999999994,1534.3560000000002,6092.2,6643.4,261.8,89.52,61.67
serial,trend+seasonal,True,False,0.641237988764914,0.6806760557351889,0.8909195669861745,739.092,730.246,950.7860000000001,224.4,188.6,88.0,22.27,8.85
serial,trend+seasonal,True,True,0.0,0.0,0.7567972515114119,615.9540000000001,664.668,872.342,1493.0,954.2,178.0,29.39,-48.71
serial,trend+seasonal+shock,False,False,0.2892770486837634,0.2892770486837634,0.9217110820748935,668.2520000000001,659.6479999999999,1981.618,983.6,983.6,108.6,66.28,8.6
serial,trend+seasonal+shock,False,True,0.0,0.0,0.8118934740514829,-160.31400000000002,-221.988,2121.5160000000005,9303.2,9854.4,261.8,107.56,61.67
serial,trend+seasonal+shock,True,False,0.5197940408085424,0.5893466774787018,0.9230482380343817,724.626,725.8860000000001,1278.254,370.8,279.8,88.0,43.31,-1.26
serial,trend+seasonal+shock,True,True,0.0,0.0,0.8268475375232605,502.974,587.01,1122.888,2622.8,1742.6,178.0,55.21,-84.04
serial,trend+shock,False,False,0.24297358896534038,0.24297358896534038,0.981306095369465,636.9859999999999,631.05,2463.3559999999998,1247.4,1247.4,31.0,74.14,5.94
serial,trend+shock,False,True,0.0,0.0,0.9765465362223061,-204.70800000000003,-238.51000000000005,2507.64,9684.2,9990.0,39.0,108.16,33.8
serial,trend+shock,True,False,0.45899357890695847,0.5053841330422519,0.9771933396739219,711.408,713.042,2171.3540000000003,472.4,395.8,37.0,67.24,-1.63
serial,trend+shock,True,True,0.0,0.0,0.9669384358322043,398.92199999999997,499.82199999999995,2154.084,3596.6,2561.0,50.6,81.48,-100.9
